Date,Open,High,Low,Close,Adj Close,Volume
2012-10-15,24.9,25.719999,24.549999,24.59,21.056185,26219100
2012-10-22,24.559999,24.85,23.190001,23.280001,19.934443,43517400
2012-10-29,24.299999,25.99,23.9,25.790001,22.083731,49176700
2012-11-05,25.440001,26.27,24.379999,25.040001,21.441509,42563700
2012-11-12,25.049999,25.379999,23.389999,23.85,20.422529,43601700
2012-11-19,24.27,25.42,24.129999,25.209999,21.58708,24079100
2012-11-26,25.17,26.24,24.639999,25.879999,22.160795,34146200
2012-12-03,26.059999,26.360001,24.459999,25.190001,21.569958,50386900
2012-12-10,25.059999,26.07,24.4,24.610001,21.073307,37435500
2012-12-17,24.67,27.91,24.65,27.32,23.393854,96132000
2012-12-24,27.309999,27.99,27.309999,27.85,23.847687,26448300
2012-12-31,27.76,30.23,27.620001,29.860001,25.568832,59819600
2013-01-07,29.639999,30.6,29.049999,30.360001,25.996983,51140200
2013-01-14,30.15,30.68,28.83,29.280001,25.072187,64489500
2013-01-21,29.190001,29.27,26.620001,29.07,24.892365,48551200
2013-01-28,29.049999,29.15,27.610001,28.17,24.121704,50727800
2013-02-04,27.889999,28.91,27.879999,28.57,24.464218,41427100
2013-02-11,28.51,29.360001,27.219999,27.76,23.770624,54136700
2013-02-18,27.690001,27.809999,26.309999,27.110001,23.214035,37495300
2013-02-25,27.110001,27.58,26.190001,27.209999,23.299662,56923800
2013-03-04,27.139999,28.190001,26.99,28,23.976131,40124300
2013-03-11,27.950001,28.639999,27.549999,28.209999,24.155952,58635900
2013-03-18,27.950001,29.299999,27.73,28.219999,24.164516,78117100
2013-03-25,28.389999,28.48,27.639999,27.82,23.822001,28321700
2013-04-01,27.65,28.299999,27.110001,27.52,23.565113,56587000
2013-04-08,27.5,29.84,27.4,29.620001,25.363325,72105700
2013-04-15,29.41,29.690001,28.75,29.15,24.960867,51063300
2013-04-22,29.200001,30.799999,28.85,30.5,26.116859,64969500
2013-04-29,30.620001,32.439999,30.110001,32.099998,27.486919,56304900
2013-05-06,32.02,32.220001,30.969999,31.42,26.90465,53587500
2013-05-13,31.16,33.77,30.870001,33.419998,28.617229,65183700
2013-05-20,33.369999,34.009998,32.099998,32.869999,28.146267,58688000
2013-05-27,34,34.91,33.450001,33.889999,29.019672,53059300
2013-06-03,34.57,35.490002,33.380001,35.029999,29.995857,181188200
2013-06-10,35.18,35.240002,33.099998,34.290001,29.362202,71581800
2013-06-17,34.5,34.560001,31.74,32.209999,27.581114,76655000
2013-06-24,31.76,33.720001,31.129999,33.310001,28.523033,65426400
2013-07-01,33.52,34.939999,33.41,34.669998,29.687593,38306200
2013-07-08,34.779999,36.580002,34.540001,36.400002,31.16897,54287900
2013-07-15,36.599998,36.990002,35.759998,36.610001,31.348797,58473000
2013-07-22,36.619999,37.709999,36.459999,36.669998,31.400167,69746600
2013-07-29,36.57,37.18,35.669998,36.950001,31.639933,69409900
2013-08-05,37.029999,37.049999,35.43,36.02,30.843588,62187300
2013-08-12,35.759998,36.209999,34.18,34.380001,29.439264,59811600
2013-08-19,34.560001,35.220001,34.049999,35.060001,30.021547,49836400
2013-08-26,35.029999,35.52,33.5,34.080002,29.182384,50504000
2013-09-02,34.68,36.790001,33.959999,36.150002,30.954903,66822300
2013-09-09,36.34,37.27,35.880001,36.060001,30.877836,79553900
2013-09-16,36.470001,37.880001,36.150002,36.830002,31.53718,101660100
2013-09-23,37.150002,37.970001,36.16,36.369999,31.143282,85519500
2013-09-30,35.709999,36.41,35.130001,35.700001,30.569569,87883000
2013-10-07,35.23,35.52,33.919998,35.349998,30.269857,90397900
2013-10-14,34.830002,36.299999,34.509998,35.889999,30.732264,67672800
2013-10-21,36.259998,36.27,34.529999,35.59,30.475382,79903600
2013-10-28,35.439999,38.209999,35.43,37.389999,32.016697,138038300
2013-11-04,37.5,37.799999,35.91,36.66,31.391609,87462000
2013-11-11,36.68,39.080002,36.369999,38.77,33.198383,122072800
2013-11-18,38.810001,39.18,37.580002,37.630001,32.22221,114209400
2013-11-25,37.75,39.150002,37.389999,38.73,33.164131,78997600
2013-12-02,39.099998,40.380001,37.68,40.169998,34.397186,178253900
